DISCIPLINE,ASSO_NOM,site web,QUARTIERS,COMPLEXE,UNITE FONCTIONNELLE,RUE_LIBELLE,UF_CP,UF_Commune,0-3ans,3-6ans,6-12ans,12-15ans,juniors16-20ans,adultes,séniors,handicapés,geolocalisation,
plongée,SALSA PLONGEE,,Ramier,PARC DES SPORTS,PISCINE NAKACHE,Allée Gabriel Biénès,31400.0,TOULOUSE,Non,Non,Non,Non,Non,Oui,Non,Non,,
FOOTBALL,BALMA SPORTING CLUB,www.balmafoot.com,,,,,,,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,43.609568, 1.497847
FOOTBALL,TOULOUSE RANGUEIL FOOTBALL CLUB,www.trfc.free.fr,Rangueil - CHR - Facultés,ZONE VERTE DE PECH DAVID,TERRAIN DE SPORT SORDELOT,Chemin des côtes de Pech David,31400.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Non,Non,43.589766, 1.415235
MUSCULATION - HALTEROPHILIE,JUDO OLYMPIA GYM,olympiagym.free.fr,Matabiau,COMPLEXE PRIVÉ,Judo Olympia Gym,Rue Caffarelli,31000.0,Toulouse,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.608465, 1.450373
JUDO ADAPTE,JUDO OLYMPIA GYM,olympiagym.free.fr,Matabiau,COMPLEXE PRIVÉ,Judo Olympia Gym,Rue Caffarelli,31000.0,Toulouse,Non,Non,Non,Non,Non,Non,Non,Oui,43.608465, 1.450373
karaté,KARATE CLUB LEO LAGRANGE,,Saint Aubin - Dupuy,ENSEMBLE LEO LAGRANGE,GYMNASE LEO LAGRANGE,Rue des Sept Troubadours,31000.0,TOULOUSE,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.679622, 1.522447
Karting handisport,ASMTH HANDICAP DEFI - Association Sportive Muret Toulouse Handisport,www.handicapdefi.com,,,,,,,Non,Non,Non,Non,Oui,Oui,Oui,Oui,43.604268, 1.441019
lutte,TUC OMNISPORTS- Toulouse Université Club,www.artlutteexpression.fr,Ramier,Stade Universitaire Daniel Faucher,Stade Universitaire Daniel Faucher,Allée du Professeur Camille Soula,31400.0,Toulouse,Non,Non,Non,Non,Non,Oui,Non,Non,43.580038, 1.435198
ESCALADE,ASSOCIATION PYRENEES CLUB,www.pyrenees-club.asso.fr,,Extérieurs de Toulouse,Les Pyrénées,,,Dans les Pyrénées,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.604268, 1.441019
AQUAGYM,TAC - Toulouse Athlétic Club,,Saint Aubin - Dupuy,ENSEMBLE LEO LAGRANGE,PISCINE LEO LAGRANGE,Place Pierre-Paul Riquet,31000.0,TOULOUSE,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.633748, 1.4478300000000002
pelote basque,TAC section PELOTE BASQUE,,Ramier,PARC DES SPORTS,PELOTE BASQUE PARC DES SPORTS,Allée Gabriel Biénès,31400.0,TOULOUSE,Non,Non,Non,Non,Non,Non,Non,Non,43.583959, 1.436448
pétanque,BOULE IZARDS CLUB,,Les Izards,ENSEMBLE LAZARET DE LALANDE,BOULODROME COUVERT DES IZARDS,Rue des Chamois,31200.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,43.638693, 1.443171
pétanque,PETANQUE CLUB AMOUROUX,www.petanque-club-amouroux.org,Roseraie,DEPOT THEATRE AMOUROUX,BOULODROME AMOUROUX,Rue d' Arles,31500.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.627891, 1.4675989999999999
pétanque,PETANQUE CLUB FONQUERNE,www.bou.maurice89.fr,,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,43.604268, 1.441019
pétanque,PETANQUE CLUB LE COCHONNET,,Minimes,ENSEMBLE MARCHE AUX COCHONS,BOULODROME LE COCHONNET,Place du Marché Aux Cochons,31200.0,TOULOUSE,Non,Non,Oui,Oui,Non,Oui,Oui,Non,43.620507, 1.435095
randonnée Pédestre,SENTIER ET AMITIE,sentier.amitie.free.fr,Pont des Demoiselles,STADE PHILIPPE STRUXIANO,STADE PHILIPPE STRUXIANO,Avenue de Lespinet,31400.0,TOULOUSE,Non,Non,Non,Non,Non,Oui,Oui,Non,43.52279, 1.3172169999999999
retraite sportive,ASTORS - Association Toulousaine de la Retraite Sportive,,Ginestous,ZONE RECREATIVE DE SESQUIERES,TENNIS SESQUIERES,Chemin du Pont de Rupe,31200.0,TOULOUSE,Non,Non,Non,Non,Non,Non,Oui,Non,43.655982, 1.416316
BOULES LYONNAISES,LES AMIS DE RAYNAL,,Barrière de Paris,ENSEMBLE SCOLAIRE TLSE LAUTREC,BOULODROME NEGRENEYS - JACQUES BOUTRIT,Impasse Pierre Curie,31200.0,TOULOUSE,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,43.626087, 1.441335
tae kwon do,DOJO EXPRESSION,www.dojo-expression.com,Château de L'Hers,COMPLEXE PRIVÉ,Dojo Expression,Avenue Raymond Naves,31500.0,Toulouse,Non,Non,Oui,Oui,Oui,Oui,Non,Non,43.597682, 1.474807
taï chi chuan/Qi Gong,DOUCEUR DE VIE,www.douceurdevie.com,Saint Cyprien,Nouveau Complexe Municipal,Espace Saint Cyprien,Allées Charles de Fitte,31300.0,TOULOUSE,Non,Non,Non,Non,Non,Oui,Oui,Non,43.612468, 1.4322979999999998
tennis,ASPTT section TENNIS,www.toulouse.asptt.com,,,,,,,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.604268, 1.441019
tennis de table,PATTE D'OIE TENNIS DE TABLE,,,,,,,,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.604268, 1.441019
planche à voile,TOAC section VOILE,toac.voile.free.fr/,,,,,,,Non,Non,Non,Non,Non,Oui,Non,Non,43.604268, 1.441019
YOGA,CYSO - Cercle de Yoga du Sud Ouest,www.cyso-yoga.org,Sauzelong - Rangueil,Nouveau Complexe Municipal,Maison de quartier Rangueil,Rue Claude de Forbin,31400.0,TOULOUSE,Non,Non,Non,Non,Non,Non,Non,Non,43.577165, 1.421124
ATHLETISME hors stade,TOULOUSE UNIVERSITE CLUB SECTION ATHLETISME,www.satuc.com,,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,43.604268, 1.441019
BOWLING,SPORT QUILLES TOULOUSAIN,,Gramont,COMPLEXE PRIVÉ,Bowling de Gramont,Chemin de Gabardie,31500.0,Toulouse,Non,Non,Non,Oui,Oui,Oui,Oui,Non,43.640724, 1.482143
CYCLISME SUR ROUTE,ROWING NOUVEAU,,Ramier,COMPLEXE PRIVÉ,Rowing Nouveau,Allée Alfred Mayssonnie,31400.0,Toulouse,Non,Non,Non,Non,Non,Oui,Oui,Non,43.590233, 1.436469
CAPOEIRA,AIKIDO BUDO CLUB (ABC),aikidobudoclub.free.fr,Bonnefoy,COMPLEXE PRIVÉ,Aïkido Budo Club,Rue du Docteur Ferdinand Gendre,31500.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Non,Non,43.619949, 1.45852
ATHLETISME hors stade,A S MACCABI TOULOUSE,maccabitoulouse.com,Pont des Demoiselles,STADE PHILIPPE STRUXIANO,STADE PHILIPPE STRUXIANO,Avenue de Lespinet,31400.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.59651, 1.441252
BASKET-BALL,TOULOUSE BASKET CLUB,www.toulouse-basket-club.fr,Jules Julien,CES JEAN MOULIN,GYMNASE JEAN MOULIN,Avenue des Ecoles Jules Julien,31400.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Non,Non,,
COURSE D'ORIENTATION,TOAC - TOULOUSE OLYMPIQUE AVIATION CLUB - OMNISPORT,toaco.free.fr,,Extérieurs de Toulouse,Région Midi-Pyrénées,,,En région Midi-Pyrénées,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.604268, 1.441019
CYCLOTOURISME,TEC - Toulouse Electrogaz Club,,,Extérieurs de Toulouse,Routes de campagne,,,Routes de campagne,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.256732, 1.196818
éveil à la danse,VIRE ET VOLTE,www.virevolte.fr,Les Pradettes,GROUPE SCOL FERDINAND LESSEPS,GYMNASE DES PRADETTES,Rue Ferdinand de Lesseps,31100.0,TOULOUSE,Non,Oui,Oui,Non,Non,Non,Non,Non,43.578802, 1.383944
gymnastique volontaire,ASSOCIATION GYMNASTIQUE VOLONTAIRE JEAN RIEUX,,Côte Pavée,Centre polyvalent Jean Rieux,Gymnase Jean Rieux,Avenue Jean Rieux,31500.0,Toulouse,Non,Non,Non,Non,Non,Oui,Oui,Non,43.589777, 1.470622
équitation,CLUB HIPPIQUE DE PECH DAVID,www.chpechdavid.com,Rangueil - CHR - Facultés,COMPLEXE PRIVÉ,Club Hippique de Pech David,Chemin des Canalets,31400.0,Toulouse,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,43.562741, 1.444268
plongée,ECOLE PLONGEE EVASION,,,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,43.604268, 1.441019
FOOTBALL,A.S. DOM TOM,asdomtom.free.fr,,ZONE DE LA RAMEE,TERRAIN 2 LA RAMEE,,31170.0,TOURNEFEUILLE,Non,Non,Non,Non,Non,Non,Oui,Non,43.664534, 1.377392
FOOTBALL,RACING CLUB BONNEFOY,,Croix Daurade,TERRAIN SPORTS CAZAL LAPUJADE,TERRAIN DE SPORT CAZAL LAPUJADE,Rue d' Avranches,31200.0,TOULOUSE,Non,Non,Oui,Oui,Non,Oui,Oui,Non,43.633079, 1.4660229999999999
FOOTBALL GAELIQUE,TOLOSA DESPORTS GAELIC,www.tolosagaels.fr,,,,,,,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.683441, 1.318569
full contact,TOAC section FULL CONTACT,www.toac-boxe.fr,,,,,,,Non,Non,Non,Non,Oui,Oui,Non,Non,43.490129, 1.5158
gymnastique artistique,ASEAT,www.aseat.fr,Juncasse - Argoulets,Complexe ASEAT,Installations CEAT,Rue d' Oran,31500.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Non,Non,43.615771, 1.470962
handball,TOULOUSE UNION HANDBALL,www.toulousehandball.com,Juncasse - Argoulets,LES ARGOULETS,GYMNASE DES ARGOULETS,Rue Dinetard,31500.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Non,Non,43.614806, 1.478052
JUDO ADAPTE,CROIX DE PIERRE JUDO,croixdepierrejudo.free.fr,Croix de Pierre,COLLEGE MAURICE BECANNE,GYMNASE MAURICE BECANNE,Rue Pierre Bourthoumieux,31300.0,TOULOUSE,Non,Oui,Oui,Oui,Non,Oui,Non,Non,43.584057, 1.425751
NATATION,ASMTH HANDICAP DEFI - Association Sportive Muret Toulouse Handisport,www.handicapdefi.com,Saint Aubin - Dupuy,ENSEMBLE LEO LAGRANGE,PISCINE LEO LAGRANGE,Place Pierre-Paul Riquet,31000.0,TOULOUSE,Non,Non,Non,Non,Non,Oui,Non,Oui,43.578277, 1.4145189999999999
karaté,TUC Section KARATE,www.tuc.asso.fr,,COMPLEXE PRIVÉ,Université de Toulouse Mirail,,31058.0,Toulouse cédex 9,Non,Non,Non,Non,Non,Non,Non,Non,43.667997, 1.429367
WATER-POLO,STADE TOULOUSAIN NATATION,www.stadetoulousainnatation.fr,Saint Aubin - Dupuy,ENSEMBLE LEO LAGRANGE,PISCINE LEO LAGRANGE,Place Pierre-Paul Riquet,31000.0,TOULOUSE,Non,Non,Oui,Non,Oui,Oui,Non,Non,43.633748, 1.4478300000000002
jeu provençal,PETANQUE CLUB GRAND ROND,,Le Busca,Nouveau Complexe Municipal,Boulodrome Grand Rond,Allées Frédéric Mistral,31400.0,TOULOUSE,Non,Non,Non,Non,Oui,Oui,Oui,Non,,
pétanque,JOYEUSE PETANQUE JOLIMONT,,,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,43.604268, 1.441019
roller,UNION SPORTIVE TOULOUSE COLLINE,,Minimes,STADE DES MINIMES,GYMNASE MINIMES ARNAUNE,Avenue Frédéric Estèbe,31200.0,TOULOUSE,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,43.621562, 1.436936
BOXE FRANCAISE,TOULOUSE MULTI BOXE,tmboxe.free.fr,Patte d'Oie,COMPLEXE PRIVÉ,Académie des Arts Martiaux de Toulouse,Avenue de Lombez,31300.0,TOULOUSE,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,43.582, 1.448621
ski nautique,SKI CLUB DE LA PENICHE,www.skiclubdelapeniche.com,Saint Cyprien,Prairie des filtres,Prairie des Filtres,Cours Dillon,31300.0,Toulouse,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,,
ski nautique,TELESKINAUTIQUE DE SESQUIERES,www.teleskitoulouse.com,Ginestous,ZONE RECREATIVE DE SESQUIERES,LAC DE SESQUIERES,Chemin de Fenouillet,31200.0,TOULOUSE,Non,Non,Non,Oui,Oui,Oui,Oui,Non,43.647997, 1.414089
BOULES LYONNAISES,AMICALE BOULISTE DE SALONIQUE,,Guilheméry,ECOLE MATERNELLE LA GLOIRE,BOULODROME SALONIQUE,Avenue de la Gloire,31500.0,TOULOUSE,Non,Non,Non,Non,Non,Oui,Oui,Oui,43.606838, 1.4658449999999998
BOULES LYONNAISES,CLUB SPORTIF SAUZELONG RANGUEIL,,Jules Julien,BOULODROME ETIENNE ROUX,BOULODROME ETIENNE ROUX,Avenue Léon Viala,31400.0,TOULOUSE,Non,Non,Non,Non,Non,Oui,Oui,Oui,43.574958, 1.4530859999999999
taï chi chuan/Qi Gong,DOUCEUR DE VIE,www.douceurdevie.com,Château de L'Hers,Salle SCHIAVY,Salle SCHIAVY,Rue Henriette Achiary,,TOULOUSE,Non,Non,Non,Non,Non,Oui,Oui,Non,,
tennis,OLYMPE BADMINTON CLUB,www.club.fft.fr/olympetoulouse,Ginestous,Complexe Olympe,Tennis Olympe,Route de Blagnac,31200.0,Toulouse,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,,
tir sportif,TOAC section TIR,,,,,,,,Non,Non,Non,Non,Non,Oui,Non,Non,43.497941, 1.311634
duathlon et triathlon,TOAC - TOULOUSE OLYMPIQUE AVIATION CLUB - OMNISPORT,www.chez.com/toactri/,Bellefontaine,ALBAN MINVILLE,PISCINE ALBAN MINVILLE,Allée de Bellefontaine,31100.0,TOULOUSE,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,43.619471, 1.3027389999999999
BEACH VOLLEY,BEACH VOLLEY TOULOUSAIN,www.beachvolleytoulousain.com,Ramier,Stade Universitaire Daniel Faucher,Stade Universitaire Daniel Faucher,Allée du Professeur Camille Soula,31400.0,Toulouse,Non,Non,Non,Oui,Oui,Oui,Non,Non,,
wushu,MIDI PYRENEES SHAOLIN SI WASHU QUAN - ECOLE SHI MIAOFENG,shaolinmidipyrenees.org,Matabiau,COMPLEXE PRIVÉ,Judo Olympia Gym,Rue Caffarelli,31000.0,Toulouse,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.608465, 1.450373
YOGA,CYSO - Cercle de Yoga du Sud Ouest,www.cyso-yoga.org,Rangueil - CHR - Facultés,COMPLEXE PRIVÉ,Gymnase du Lycée Bellevue,Route de Narbonne,31400.0,Toulouse,Non,Non,Non,Non,Non,Non,Non,Non,43.568919, 1.423578
VIET VO DAO,ASEAT,www.aseat.fr,Juncasse - Argoulets,Complexe ASEAT,Installations CEAT,Rue d' Oran,31500.0,TOULOUSE,Non,Non,Non,Oui,Oui,Oui,Non,Non,43.615771, 1.470962
BASKET-BALL,TOAC section BASKET,www.toac-basket.org/,,,,,,,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.664547, 1.503845
DANSE INDIENNE - BOLLYWOOD,ASCM - ASSOCIATION SPORTIVE ET CULTURELLE MONTAUDRAN,,Montaudran Lespinet,Nouveau Complexe Municipal,Centre d'animation Montaudran,Impasse Gaston Genin,31400.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.573964, 1.48466
BOWLING,ECOLE DE BOWLING DE TOULOUSE,,Minimes,COMPLEXE PRIVÉ,Bowling des Minimes,Avenue des Minimes,31200.0,Toulouse,Non,Non,Oui,Oui,Oui,Non,Non,Non,43.621047, 1.435368
BOWLING,TOULOUSE BOWLING CLUB,,Minimes,COMPLEXE PRIVÉ,Bowling des Minimes,Avenue des Minimes,31200.0,Toulouse,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,43.58071, 1.4195
quilles de huit,SQAAT - SPORT QUILLES DE 8 SECTION AMICALE DES AVEYRONNAIS DE TOULOUSE,sqaat.wife.com,Ginestous,ZONE RECREATIVE DE SESQUIERES,BOULODROME SESQUIERES,Chemin de Fenouillet,31200.0,TOULOUSE,Non,Non,Non,Oui,Oui,Oui,Oui,Non,43.551417, 1.532693
CIRQUE,ASCM - ASSOCIATION SPORTIVE ET CULTURELLE MONTAUDRAN,,Montaudran Lespinet,Nouveau Complexe Municipal,Centre d'animation Montaudran,Impasse Gaston Genin,31400.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.573964, 1.48466
plongée,CLUB SUBAQUATIQUE TOULOUSAIN,csat.free.fr,Saint Aubin - Dupuy,ENSEMBLE LEO LAGRANGE,PISCINE LEO LAGRANGE,Place Pierre-Paul Riquet,31000.0,TOULOUSE,Non,Non,Non,Oui,Oui,Oui,Oui,Non,43.593607, 1.462219
ATHLETISME ADAPTE (EN STADE),TCMS section ATHLETISME,www.tcms-athletisme.com,,,,,,,Non,Non,Non,Non,Non,Non,Non,Oui,43.604268, 1.441019
JUDO ADAPTE,CETAM - Centre d'Etudes Toulousain des Arts Martiaux,,Saint Aubin - Dupuy,GROUPE SCOLAIRE CALVINHAC,GYMNASE CALVINHAC,Rue Jacques Labatut,31000.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.598045, 1.454765
kung-Fu,CAY DAO BINH DINH,binhdinh.free.fr,,,,,,,Non,Non,Non,Non,Oui,Oui,Non,Non,43.707846, 1.3848500000000001
éveil aquatique,BEBES DAUPHINS TOULOUSAINS,www.bbdt31.org,Ramier,PARC DES SPORTS,PISCINE NAKACHE,Allée Gabriel Biénès,31400.0,TOULOUSE,Oui,Oui,Non,Non,Non,Non,Non,Non,43.60593, 1.453138
NATATION,LE CERCLE DES NAGEURS DE CUGNAUX,,,ZONE DE LA RAMEE,Piscine la Ramée,,31170.0,TOURNEFEUILLE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.575595, 1.270976
pétanque,LA BOULE DU RUGBY,,Minimes,STADE DES MINIMES,BOULODROME ARNAUNE,Avenue des Minimes,31200.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,43.621047, 1.435368
roller,Roller Club Toulousain,rct.fr.fm,,ZONE DE LA RAMEE,GYMNASE LA RAMEE,,31170.0,TOURNEFEUILLE,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.604268, 1.441019
rugby,TCMS section RUGBY,,,,,,,,Non,Non,Oui,Oui,Oui,Oui,Non,Non,43.664547, 1.503845
BOXE FRANCAISE,CLUB DE KARATE - BOXE FRANCAISE DES PRADETTES,CKP.neuf.fr,Les Pradettes,GROUPE SCOL FERDINAND LESSEPS,GYMNASE DES PRADETTES,Rue Ferdinand de Lesseps,31100.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,43.578802, 1.383944
BOXE FRANCAISE,TCMS section BOXE FRANCAISE,,,,,,,,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.604268, 1.441019
savate,TOULOUSE MULTI BOXE,tmboxe.free.fr,Patte d'Oie,COMPLEXE PRIVÉ,Académie des Arts Martiaux de Toulouse,Avenue de Lombez,31300.0,TOULOUSE,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,43.582, 1.448621
ski de fond,CLUB ALPIN FRANCAIS DE TOULOUSE,caftoulouse.free.fr,,Extérieurs de Toulouse,Les Alpes,,,Dans les Alpes,Non,Non,Non,Non,Non,Oui,Oui,Non,43.604268, 1.441019
tae kwon do,ECOLE TRADITIONNELLE DE TAEKWONDO,,,ENSEMBLE VALMY BELLEFONTAINE,SALLE 1 D'ARTS MARTIAUX VALMY,,31100.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.604268, 1.441019
AIKIDO,ECOLE LAURAGAISE D'AIKIDO,,Saint Aubin - Dupuy,GROUPE SCOLAIRE CALVINHAC,GYMNASE CALVINHAC,Rue Jacques Labatut,31000.0,TOULOUSE,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,43.589939, 1.4628269999999999
ATHLETISME ADAPTE (EN STADE),TCMS section ATHLETISME,www.tcms-athletisme.com,,,,,,,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.604268, 1.441019
